127.0.0.1, 2019-04-24 21:34:23, GET, /HW2/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.000000
127.0.0.1, 2019-04-24 21:34:23, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2019-04-24 21:34:27, GET, /admin/default/site, HTTP/1.1, 200, 0.021980
127.0.0.1, 2019-04-24 21:34:27, GET, /admin/static/_2.18.5/css/calendar.css, HTTP/1.1, 200, 0.003999
127.0.0.1, 2019-04-24 21:34:27, GET, /admin/static/_2.18.5/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2019-04-24 21:34:27, GET, /admin/static/_2.18.5/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2019-04-24 21:34:27, GET, /admin/static/_2.18.5/css/bootstrap.min.css, HTTP/1.1, 200, 0.000999
127.0.0.1, 2019-04-24 21:34:27, GET, /admin/static/_2.18.5/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.001999
127.0.0.1, 2019-04-24 21:34:27, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2019-04-24 21:34:29, GET, /HW2/default/index, HTTP/1.1, 200, 0.015008
127.0.0.1, 2019-04-24 21:34:29, GET, /HW2/static/css/stupid.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-04-24 21:34:29, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2019-04-24 21:34:33, GET, /HW2/default/entry1, HTTP/1.1, 404, 0.011000
127.0.0.1, 2019-04-24 21:34:35, GET, /HW2/default/index, HTTP/1.1, 200, 0.014009
127.0.0.1, 2019-04-24 21:34:36, GET, /HW2/static/css/stupid.css, HTTP/1.1, 200, 0.000997
127.0.0.1, 2019-04-24 21:34:36, GET, /HW2/default/index, HTTP/1.1, 200, 0.013010
127.0.0.1, 2019-04-24 21:34:38, GET, /HW2/default/entry2, HTTP/1.1, 404, 0.009997
127.0.0.1, 2019-04-24 21:34:40, GET, /HW2/default/index, HTTP/1.1, 200, 0.014997
127.0.0.1, 2019-04-24 21:34:40, GET, /favicon.ico, HTTP/1.1, 400, 0.001012
127.0.0.1, 2019-04-24 21:34:40, GET, /HW2/default/index, HTTP/1.1, 200, 0.013997
127.0.0.1, 2019-04-24 21:34:43, GET, /admin/default/site, HTTP/1.1, 200, 0.022002
127.0.0.1, 2019-04-24 21:34:43, GET, /admin/static/_2.18.5/css/calendar.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-04-24 21:34:43, GET, /admin/static/_2.18.5/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-04-24 21:34:43, GET, /admin/static/_2.18.5/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.002999
127.0.0.1, 2019-04-24 21:34:43, GET, /admin/static/_2.18.5/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000999
127.0.0.1, 2019-04-24 21:34:46, GET, /admin/default/index, HTTP/1.1, 303, 0.004011
127.0.0.1, 2019-04-24 21:34:46, GET, /admin/default/site, HTTP/1.1, 200, 0.021003
127.0.0.1, 2019-04-24 21:35:35, GET, /HW2/default/index, HTTP/1.1, 200, 0.012995
127.0.0.1, 2019-04-24 21:35:35, GET, /HW2/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-04-24 21:35:35, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2019-04-24 21:35:36, GET, /admin/default/site, HTTP/1.1, 200, 0.023006
127.0.0.1, 2019-04-24 21:35:36, GET, /admin/static/_2.18.5/css/calendar.css, HTTP/1.1, 200, 0.000985
127.0.0.1, 2019-04-24 21:35:36, GET, /admin/static/_2.18.5/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.000999
127.0.0.1, 2019-04-24 21:37:05, GET, /HW2/default/index, HTTP/1.1, 200, 0.013985
127.0.0.1, 2019-04-24 21:37:05, GET, /HW2/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-04-24 21:37:05, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2019-04-24 21:38:56, GET, /admin/default/site, HTTP/1.1, 200, 0.024967
127.0.0.1, 2019-04-24 21:38:56, GET, /admin/static/_2.18.5/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.000998
127.0.0.1, 2019-04-24 21:38:56, GET, /admin/static/_2.18.5/images/folder_locked.png, HTTP/1.1, 200, 0.001018
127.0.0.1, 2019-04-24 21:38:56, GET, /admin/static/_2.18.5/images/folder.png, HTTP/1.1, 200, 0.001018
127.0.0.1, 2019-04-24 21:38:56, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2019-04-24 21:38:56, GET, /admin/static/_2.18.5/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-04-24 21:38:58, GET, /HW2/default/index, HTTP/1.1, 200, 0.014007
127.0.0.1, 2019-04-24 21:38:58, GET, /HW2/static/js/jquery.js, HTTP/1.1, 304, 0.001001
127.0.0.1, 2019-04-24 21:38:58, GET, /HW2/static/js/calendar.js, HTTP/1.1, 304, 0.001001
